human,mouse,lemur
ENSG00000003756,ENSMUSG00000032580,ENSMICG00000016179
ENSG00000003987,ENSMUSG00000039431,ENSMICG00000002877
ENSG00000003989,ENSMUSG00000031596,ENSMICG00000013150
ENSG00000004059,ENSMUSG00000020440,ENSMICG00000000091
ENSG00000004139,ENSMUSG00000050132,ENSMICG00000028616
ENSG00000004142,ENSMUSG00000001100,ENSMICG00000005078
ENSG00000004399,ENSMUSG00000030123,ENSMICG00000008079
ENSG00000004455,ENSMUSG00000028792,ENSMICG00000012452
ENSG00000004468,ENSMUSG00000029084,ENSMICG00000030541
ENSG00000004478,ENSMUSG00000030357,ENSMICG00000000096
ENSG00000004487,ENSMUSG00000036940,ENSMICG00000013347
ENSG00000004534,ENSMUSG00000032582,ENSMICG00000016174
ENSG00000004700,ENSMUSG00000030243,ENSMICG00000002664
ENSG00000004766,ENSMUSG00000001376,ENSMICG00000012428
ENSG00000004776,ENSMUSG00000036854,ENSMICG00000046456
ENSG00000004777,ENSMUSG00000036882,ENSMICG00000010004
ENSG00000004779,ENSMUSG00000030869,ENSMICG00000007778
ENSG00000004799,ENSMUSG00000019577,ENSMICG00000005753
ENSG00000004838,ENSMUSG00000010044,ENSMICG00000016366
ENSG00000004846,ENSMUSG00000072791,ENSMICG00000013242
ENSG00000004848,ENSMUSG00000035277,ENSMICG00000044540
ENSG00000004864,ENSMUSG00000015112,ENSMICG00000008911
ENSG00000004866,ENSMUSG00000029534,ENSMICG00000005741
ENSG00000004897,ENSMUSG00000020687,ENSMICG00000038171
ENSG00000004939,ENSMUSG00000006574,ENSMICG00000008130
ENSG00000004948,ENSMUSG00000023964,ENSMICG00000002792
ENSG00000004961,ENSMUSG00000031352,ENSMICG00000014372
ENSG00000004975,ENSMUSG00000020888,ENSMICG00000004315
ENSG00000005001,ENSMUSG00000045027,ENSMICG00000005885
ENSG00000005007,ENSMUSG00000058301,ENSMICG00000001659
ENSG00000005020,ENSMUSG00000059182,ENSMICG00000000466
ENSG00000005059,ENSMUSG00000027994,ENSMICG00000037926
ENSG00000005073,ENSMUSG00000038210,ENSMICG00000033824
ENSG00000005100,ENSMUSG00000040620,ENSMICG00000012715
ENSG00000005102,ENSMUSG00000001493,ENSMICG00000005601
ENSG00000005108,ENSMUSG00000032625,ENSMICG00000014021
ENSG00000005156,ENSMUSG00000020697,ENSMICG00000006814
ENSG00000005175,ENSMUSG00000022466,ENSMICG00000008923
ENSG00000005187,ENSMUSG00000030935,ENSMICG00000030875
ENSG00000005189,ENSMUSG00000030924,ENSMICG00000014886
ENSG00000005194,ENSMUSG00000031781,ENSMICG00000004666
ENSG00000005206,ENSMUSG00000035206,ENSMICG00000009993
ENSG00000005238,ENSMUSG00000036002,ENSMICG00000005528
ENSG00000005243,ENSMUSG00000018672,ENSMICG00000014097
ENSG00000005249,ENSMUSG00000002997,ENSMICG00000012848
ENSG00000005302,ENSMUSG00000047669,ENSMICG00000014399
ENSG00000005339,ENSMUSG00000022521,ENSMICG00000009148
ENSG00000005379,ENSMUSG00000034156,ENSMICG00000015982
ENSG00000005381,ENSMUSG00000009350,ENSMICG00000015974
ENSG00000005421,ENSMUSG00000002588,ENSMICG00000005724
ENSG00000005436,ENSMUSG00000035125,ENSMICG00000028998
ENSG00000005448,ENSMUSG00000030032,ENSMICG00000006170
ENSG00000005469,ENSMUSG00000003623,ENSMICG00000001271
ENSG00000005471,ENSMUSG00000042476,ENSMICG00000043619
ENSG00000005483,ENSMUSG00000029004,ENSMICG00000006426
ENSG00000005486,ENSMUSG00000039917,ENSMICG00000043146
ENSG00000005513,ENSMUSG00000024176,ENSMICG00000011516
ENSG00000005700,ENSMUSG00000035941,ENSMICG00000005321
ENSG00000005810,ENSMUSG00000033004,ENSMICG00000002673
ENSG00000005812,ENSMUSG00000022124,ENSMICG00000002671
ENSG00000005844,ENSMUSG00000030830,ENSMICG00000004705
ENSG00000005882,ENSMUSG00000038967,ENSMICG00000007219
ENSG00000005884,ENSMUSG00000001507,ENSMICG00000007204
ENSG00000005889,ENSMUSG00000079509,ENSMICG00000009517
ENSG00000005893,ENSMUSG00000016534,ENSMICG00000042413
ENSG00000005961,ENSMUSG00000034664,ENSMICG00000005146
ENSG00000005981,ENSMUSG00000042607,ENSMICG00000005750
ENSG00000006007,ENSMUSG00000033917,ENSMICG00000027538
ENSG00000006015,ENSMUSG00000058833,ENSMICG00000038301
ENSG00000006016,ENSMUSG00000007888,ENSMICG00000028147
ENSG00000006025,ENSMUSG00000038534,ENSMICG00000004799
ENSG00000006042,ENSMUSG00000035413,ENSMICG00000011888
ENSG00000006047,ENSMUSG00000018554,ENSMICG00000012453
ENSG00000006059,ENSMUSG00000048981,ENSMICG00000034958
ENSG00000006062,ENSMUSG00000020941,ENSMICG00000003887
ENSG00000006071,ENSMUSG00000040136,ENSMICG00000005522
ENSG00000006116,ENSMUSG00000066189,ENSMICG00000008055
ENSG00000006118,ENSMUSG00000024736,ENSMICG00000042560
ENSG00000006125,ENSMUSG00000035152,ENSMICG00000017045
ENSG00000006128,ENSMUSG00000061762,ENSMICG00000033534
ENSG00000006194,ENSMUSG00000022529,ENSMICG00000014148
ENSG00000006210,ENSMUSG00000031778,ENSMICG00000033647
ENSG00000006282,ENSMUSG00000020867,ENSMICG00000009762
ENSG00000006283,ENSMUSG00000020866,ENSMICG00000009782
ENSG00000006327,ENSMUSG00000023905,ENSMICG00000001879
ENSG00000006377,ENSMUSG00000029754,ENSMICG00000014432
ENSG00000006432,ENSMUSG00000042724,ENSMICG00000013005
ENSG00000006451,ENSMUSG00000008859,ENSMICG00000038516
ENSG00000006453,ENSMUSG00000038859,ENSMICG00000002891
ENSG00000006468,ENSMUSG00000004151,ENSMICG00000006101
ENSG00000006534,ENSMUSG00000024885,ENSMICG00000009516
ENSG00000006555,ENSMUSG00000034919,ENSMICG00000030141
ENSG00000006576,ENSMUSG00000039987,ENSMICG00000010985
ENSG00000006607,ENSMUSG00000034066,ENSMICG00000012071
ENSG00000006611,ENSMUSG00000030838,ENSMICG00000005547
ENSG00000006625,ENSMUSG00000002797,ENSMICG00000012142
ENSG00000006634,ENSMUSG00000002297,ENSMICG00000030146
ENSG00000006638,ENSMUSG00000034881,ENSMICG00000031426
ENSG00000006652,ENSMUSG00000001627,ENSMICG00000047065
ENSG00000006695,ENSMUSG00000042148,ENSMICG00000046924
ENSG00000006704,ENSMUSG00000023079,ENSMICG00000010230
ENSG00000006712,ENSMUSG00000003437,ENSMICG00000006084
ENSG00000006715,ENSMUSG00000041236,ENSMICG00000005036
ENSG00000006740,ENSMUSG00000033389,ENSMICG00000002417
ENSG00000006744,ENSMUSG00000020549,ENSMICG00000002428
ENSG00000006747,ENSMUSG00000002565,ENSMICG00000029127
ENSG00000006788,ENSMUSG00000060180,ENSMICG00000005392
ENSG00000006831,ENSMUSG00000030168,ENSMICG00000026490
ENSG00000007001,ENSMUSG00000026839,ENSMICG00000004835
ENSG00000007047,ENSMUSG00000030397,ENSMICG00000000621
ENSG00000007062,ENSMUSG00000029086,ENSMICG00000016967
ENSG00000007080,ENSMUSG00000007721,ENSMICG00000008707
ENSG00000007168,ENSMUSG00000020745,ENSMICG00000031621
ENSG00000007171,ENSMUSG00000020826,ENSMICG00000008244
ENSG00000007174,ENSMUSG00000056752,ENSMICG00000016166
ENSG00000007202,ENSMUSG00000010277,ENSMICG00000016856
ENSG00000007216,ENSMUSG00000001095,ENSMICG00000016787
ENSG00000007237,ENSMUSG00000033066,ENSMICG00000005373
ENSG00000007255,ENSMUSG00000002043,ENSMICG00000002475
ENSG00000007264,ENSMUSG00000004933,ENSMICG00000014774
ENSG00000007312,ENSMUSG00000040592,ENSMICG00000031356
ENSG00000007314,ENSMUSG00000001027,ENSMICG00000010028
ENSG00000007341,ENSMUSG00000045576,ENSMICG00000003173
ENSG00000007350,ENSMUSG00000031397,ENSMICG00000035660
ENSG00000007372,ENSMUSG00000027168,ENSMICG00000004089
ENSG00000007376,ENSMUSG00000041199,ENSMICG00000017561
ENSG00000007384,ENSMUSG00000020282,ENSMICG00000010336
ENSG00000007392,ENSMUSG00000024188,ENSMICG00000010397
ENSG00000007402,ENSMUSG00000010066,ENSMICG00000016395
ENSG00000007516,ENSMUSG00000047507,ENSMICG00000031314
ENSG00000007520,ENSMUSG00000015126,ENSMICG00000045072
ENSG00000007541,ENSMUSG00000025728,ENSMICG00000029792
ENSG00000007545,ENSMUSG00000038002,ENSMICG00000014094
ENSG00000007908,ENSMUSG00000026582,ENSMICG00000012315
ENSG00000007923,ENSMUSG00000039768,ENSMICG00000016354
ENSG00000007933,ENSMUSG00000026691,ENSMICG00000031362
ENSG00000007944,ENSMUSG00000038175,ENSMICG00000011860
ENSG00000007952,ENSMUSG00000031257,ENSMICG00000014139
ENSG00000007968,ENSMUSG00000018983,ENSMICG00000012121
ENSG00000008018,ENSMUSG00000014769,ENSMICG00000042411
ENSG00000008056,ENSMUSG00000037217,ENSMICG00000016204
ENSG00000008083,ENSMUSG00000038518,ENSMICG00000010642
ENSG00000008086,ENSMUSG00000031292,ENSMICG00000004179
ENSG00000008118,ENSMUSG00000016179,ENSMICG00000001192
ENSG00000008130,ENSMUSG00000029063,ENSMICG00000015125
ENSG00000008196,ENSMUSG00000025927,ENSMICG00000017317
ENSG00000008197,ENSMUSG00000042596,ENSMICG00000005507
ENSG00000008226,ENSMUSG00000038060,ENSMICG00000048479
ENSG00000008256,ENSMUSG00000018001,ENSMICG00000004355
ENSG00000008277,ENSMUSG00000040537,ENSMICG00000011473
ENSG00000008282,ENSMUSG00000020570,ENSMICG00000031837
ENSG00000008283,ENSMUSG00000019590,ENSMICG00000014405
ENSG00000008294,ENSMUSG00000020859,ENSMICG00000013743
ENSG00000008300,ENSMUSG00000023473,ENSMICG00000014363
ENSG00000008311,ENSMUSG00000029695,ENSMICG00000000617
ENSG00000008323,ENSMUSG00000038167,ENSMICG00000009241
ENSG00000008324,ENSMUSG00000032526,ENSMICG00000049577
ENSG00000008382,ENSMUSG00000003199,ENSMICG00000038621
ENSG00000008394,ENSMUSG00000008540,ENSMICG00000031844
ENSG00000008405,ENSMUSG00000020038,ENSMICG00000006849
ENSG00000008438,ENSMUSG00000030413,ENSMICG00000033644
ENSG00000008441,ENSMUSG00000001911,ENSMICG00000000785
ENSG00000008513,ENSMUSG00000013846,ENSMICG00000030976
ENSG00000008516,ENSMUSG00000023903,ENSMICG00000028168
ENSG00000008710,ENSMUSG00000032855,ENSMICG00000005834
ENSG00000008735,ENSMUSG00000022619,ENSMICG00000000871
ENSG00000008838,ENSMUSG00000017210,ENSMICG00000008136
ENSG00000008853,ENSMUSG00000022075,ENSMICG00000011180
ENSG00000008869,ENSMUSG00000039414,ENSMICG00000003296
ENSG00000008952,ENSMUSG00000027706,ENSMICG00000048942
ENSG00000009307,ENSMUSG00000068823,ENSMICG00000002050
ENSG00000009335,ENSMUSG00000039000,ENSMICG00000013340
ENSG00000009413,ENSMUSG00000019841,ENSMICG00000030163
ENSG00000009694,ENSMUSG00000016150,ENSMICG00000007903
ENSG00000009709,ENSMUSG00000028736,ENSMICG00000016256
ENSG00000009724,ENSMUSG00000028979,ENSMICG00000003841
ENSG00000009765,ENSMUSG00000019762,ENSMICG00000004582
ENSG00000009780,ENSMUSG00000028878,ENSMICG00000038656
ENSG00000009790,ENSMUSG00000037318,ENSMICG00000001216
ENSG00000009830,ENSMUSG00000034126,ENSMICG00000017148
ENSG00000009844,ENSMUSG00000019868,ENSMICG00000004420
ENSG00000009950,ENSMUSG00000005373,ENSMICG00000030548
ENSG00000009954,ENSMUSG00000002748,ENSMICG00000037443
ENSG00000010017,ENSMUSG00000038546,ENSMICG00000000179
ENSG00000010072,ENSMUSG00000031986,ENSMICG00000029926
ENSG00000010165,ENSMUSG00000026694,ENSMICG00000037588
ENSG00000010219,ENSMUSG00000030345,ENSMICG00000011365
ENSG00000010244,ENSMUSG00000017421,ENSMICG00000002395
ENSG00000010256,ENSMUSG00000025651,ENSMICG00000014344
ENSG00000010270,ENSMUSG00000003062,ENSMICG00000000945
ENSG00000010278,ENSMUSG00000030342,ENSMICG00000009235
ENSG00000010282,ENSMUSG00000032523,ENSMICG00000049154
ENSG00000010292,ENSMUSG00000038252,ENSMICG00000006519
ENSG00000010295,ENSMUSG00000038271,ENSMICG00000006558
ENSG00000010310,ENSMUSG00000030406,ENSMICG00000001830
ENSG00000010318,ENSMUSG00000021902,ENSMICG00000002810
ENSG00000010319,ENSMUSG00000021904,ENSMICG00000002820
ENSG00000010322,ENSMUSG00000021910,ENSMICG00000002831
ENSG00000010327,ENSMUSG00000042286,ENSMICG00000002842
ENSG00000010361,ENSMUSG00000011658,ENSMICG00000003089
ENSG00000010404,ENSMUSG00000035847,ENSMICG00000002745
ENSG00000010610,ENSMUSG00000023274,ENSMICG00000027649
ENSG00000010626,ENSMUSG00000030125,ENSMICG00000001768
ENSG00000010671,ENSMUSG00000031264,ENSMICG00000015601
ENSG00000010704,ENSMUSG00000006611,ENSMICG00000017272
ENSG00000010803,ENSMUSG00000000085,ENSMICG00000012377
ENSG00000010810,ENSMUSG00000019843,ENSMICG00000008716
ENSG00000010818,ENSMUSG00000015501,ENSMICG00000030485
ENSG00000010932,ENSMUSG00000040181,ENSMICG00000017112
ENSG00000011007,ENSMUSG00000028668,ENSMICG00000005828
ENSG00000011009,ENSMUSG00000028670,ENSMICG00000005841
ENSG00000011021,ENSMUSG00000029016,ENSMICG00000003383
ENSG00000011028,ENSMUSG00000020695,ENSMICG00000013679
ENSG00000011083,ENSMUSG00000052026,ENSMICG00000002824
ENSG00000011105,ENSMUSG00000030352,ENSMICG00000000109
ENSG00000011114,ENSMUSG00000041702,ENSMICG00000000788
ENSG00000011143,ENSMUSG00000034121,ENSMICG00000015953
ENSG00000011198,ENSMUSG00000032540,ENSMICG00000012063
ENSG00000011243,ENSMUSG00000002625,ENSMICG00000027945
ENSG00000011258,ENSMUSG00000059474,ENSMICG00000016291
ENSG00000011260,ENSMUSG00000054079,ENSMICG00000009331
ENSG00000011275,ENSMUSG00000045078,ENSMICG00000010220
ENSG00000011295,ENSMUSG00000042298,ENSMICG00000007108
ENSG00000011304,ENSMUSG00000006498,ENSMICG00000007131
ENSG00000011332,ENSMUSG00000030584,ENSMICG00000035262
ENSG00000011347,ENSMUSG00000024743,ENSMICG00000013836
ENSG00000011376,ENSMUSG00000035202,ENSMICG00000049159
ENSG00000011405,ENSMUSG00000030660,ENSMICG00000003718
ENSG00000011422,ENSMUSG00000046223,ENSMICG00000044642
ENSG00000011426,ENSMUSG00000036777,ENSMICG00000008936
ENSG00000011451,ENSMUSG00000024050,ENSMICG00000012764
ENSG00000011454,ENSMUSG00000035437,ENSMICG00000000821
ENSG00000011465,ENSMUSG00000019929,ENSMICG00000028201
ENSG00000011478,ENSMUSG00000030407,ENSMICG00000001842
ENSG00000011485,ENSMUSG00000003099,ENSMICG00000031666
ENSG00000011523,ENSMUSG00000044066,ENSMICG00000037255
ENSG00000011566,ENSMUSG00000024242,ENSMICG00000013218
ENSG00000011590,ENSMUSG00000006310,ENSMICG00000045992
ENSG00000011600,ENSMUSG00000030579,ENSMICG00000032551
ENSG00000011638,ENSMUSG00000030917,ENSMICG00000015039
ENSG00000011677,ENSMUSG00000031343,ENSMICG00000042718
ENSG00000012048,ENSMUSG00000017146,ENSMICG00000043973
ENSG00000012061,ENSMUSG00000003549,ENSMICG00000001806
ENSG00000012124,ENSMUSG00000030577,ENSMICG00000001531
ENSG00000012171,ENSMUSG00000057969,ENSMICG00000016288
ENSG00000012174,ENSMUSG00000046873,ENSMICG00000008917
ENSG00000012211,ENSMUSG00000031145,ENSMICG00000006347
ENSG00000012223,ENSMUSG00000032496,ENSMICG00000049383
ENSG00000012232,ENSMUSG00000021978,ENSMICG00000027437
ENSG00000012504,ENSMUSG00000047638,ENSMICG00000013522
ENSG00000012660,ENSMUSG00000032349,ENSMICG00000004038
ENSG00000012779,ENSMUSG00000025701,ENSMICG00000008704
ENSG00000012822,ENSMUSG00000023055,ENSMICG00000011694
ENSG00000012963,ENSMUSG00000041712,ENSMICG00000000784
ENSG00000012983,ENSMUSG00000034761,ENSMICG00000015101
ENSG00000013016,ENSMUSG00000024065,ENSMICG00000043744
ENSG00000013275,ENSMUSG00000030603,ENSMICG00000017226
ENSG00000013288,ENSMUSG00000029119,ENSMICG00000007904
ENSG00000013293,ENSMUSG00000069072,ENSMICG00000048929
ENSG00000013297,ENSMUSG00000037625,ENSMICG00000048893
ENSG00000013306,ENSMUSG00000018677,ENSMICG00000005118
ENSG00000013364,ENSMUSG00000030681,ENSMICG00000010206
ENSG00000013374,ENSMUSG00000028954,ENSMICG00000004796
ENSG00000013375,ENSMUSG00000056131,ENSMICG00000013735
ENSG00000013392,ENSMUSG00000032417,ENSMICG00000013751
ENSG00000013441,ENSMUSG00000026034,ENSMICG00000003361
ENSG00000013503,ENSMUSG00000034453,ENSMICG00000008910
ENSG00000013523,ENSMUSG00000021257,ENSMICG00000003631
ENSG00000013561,ENSMUSG00000060450,ENSMICG00000000403
ENSG00000013563,ENSMUSG00000019088,ENSMICG00000035242
ENSG00000013573,ENSMUSG00000035842,ENSMICG00000002391
ENSG00000013583,ENSMUSG00000042770,ENSMICG00000010117
ENSG00000013588,ENSMUSG00000046733,ENSMICG00000010097
ENSG00000013619,ENSMUSG00000059401,ENSMICG00000017610
ENSG00000013725,ENSMUSG00000024670,ENSMICG00000011288
ENSG00000014123,ENSMUSG00000040359,ENSMICG00000009169
ENSG00000014138,ENSMUSG00000024833,ENSMICG00000008635
ENSG00000014164,ENSMUSG00000075600,ENSMICG00000001100
ENSG00000014216,ENSMUSG00000024942,ENSMICG00000008602
ENSG00000014257,ENSMUSG00000032561,ENSMICG00000049036
ENSG00000014641,ENSMUSG00000020321,ENSMICG00000015195
ENSG00000014824,ENSMUSG00000029221,ENSMICG00000016314
ENSG00000014914,ENSMUSG00000045934,ENSMICG00000000298
ENSG00000014919,ENSMUSG00000040018,ENSMICG00000010505
ENSG00000015133,ENSMUSG00000021182,ENSMICG00000011170
ENSG00000015153,ENSMUSG00000022634,ENSMICG00000006755
ENSG00000015171,ENSMUSG00000021156,ENSMICG00000010021
ENSG00000015285,ENSMUSG00000031165,ENSMICG00000035528
ENSG00000015413,ENSMUSG00000019278,ENSMICG00000015532
ENSG00000015475,ENSMUSG00000004446,ENSMICG00000008670
ENSG00000015479,ENSMUSG00000037236,ENSMICG00000012438
ENSG00000015520,ENSMUSG00000020447,ENSMICG00000005536
ENSG00000015532,ENSMUSG00000020868,ENSMICG00000009687
ENSG00000015592,ENSMUSG00000022044,ENSMICG00000012281
ENSG00000015676,ENSMUSG00000053838,ENSMICG00000003284
ENSG00000016082,ENSMUSG00000042258,ENSMICG00000001868
ENSG00000016391,ENSMUSG00000015970,ENSMICG00000017511
ENSG00000016402,ENSMUSG00000020007,ENSMICG00000004953
ENSG00000016602,ENSMUSG00000068547,ENSMICG00000015889
ENSG00000017260,ENSMUSG00000032570,ENSMICG00000049199
ENSG00000017427,ENSMUSG00000020053,ENSMICG00000001960
ENSG00000017483,ENSMUSG00000031170,ENSMICG00000013083
ENSG00000017797,ENSMUSG00000024096,ENSMICG00000003325
ENSG00000018236,ENSMUSG00000055022,ENSMICG00000012376
ENSG00000018280,ENSMUSG00000026177,ENSMICG00000032402
ENSG00000018408,ENSMUSG00000027803,ENSMICG00000049363
ENSG00000018510,ENSMUSG00000042410,ENSMICG00000003750
ENSG00000018610,ENSMUSG00000006423,ENSMICG00000002760
ENSG00000018699,ENSMUSG00000024078,ENSMICG00000043484
ENSG00000019102,ENSMUSG00000001943,ENSMICG00000001695
ENSG00000019144,ENSMUSG00000048537,ENSMICG00000011443
ENSG00000019186,ENSMUSG00000038567,ENSMICG00000029179
ENSG00000019485,ENSMUSG00000075028,ENSMICG00000014133
ENSG00000019505,ENSMUSG00000027220,ENSMICG00000029048
ENSG00000019582,ENSMUSG00000024610,ENSMICG00000002890
ENSG00000019991,ENSMUSG00000028864,ENSMICG00000008463
ENSG00000019995,ENSMUSG00000030967,ENSMICG00000000273
ENSG00000020129,ENSMUSG00000028833,ENSMICG00000006440
ENSG00000020181,ENSMUSG00000031486,ENSMICG00000010161
ENSG00000020256,ENSMUSG00000027551,ENSMICG00000034213
ENSG00000020426,ENSMUSG00000021103,ENSMICG00000033557
ENSG00000020577,ENSMUSG00000021838,ENSMICG00000016212
ENSG00000020633,ENSMUSG00000070691,ENSMICG00000035257
ENSG00000021300,ENSMUSG00000030701,ENSMICG00000003147
ENSG00000021355,ENSMUSG00000051029,ENSMICG00000016870
ENSG00000021488,ENSMUSG00000030492,ENSMICG00000046921
ENSG00000021574,ENSMUSG00000024068,ENSMICG00000015575
ENSG00000021645,ENSMUSG00000066392,ENSMICG00000016119
ENSG00000021762,ENSMUSG00000037606,ENSMICG00000004318
ENSG00000021776,ENSMUSG00000040383,ENSMICG00000016979
ENSG00000021826,ENSMUSG00000025991,ENSMICG00000010886
ENSG00000021852,ENSMUSG00000029656,ENSMICG00000000727
ENSG00000022277,ENSMUSG00000027502,ENSMICG00000034383
ENSG00000022355,ENSMUSG00000010803,ENSMICG00000029169
ENSG00000022556,ENSMUSG00000035177,ENSMICG00000043941
ENSG00000022567,ENSMUSG00000079020,ENSMICG00000010421
ENSG00000022840,ENSMUSG00000041740,ENSMICG00000008682
ENSG00000022976,ENSMUSG00000021271,ENSMICG00000006615
ENSG00000023041,ENSMUSG00000024982,ENSMICG00000035271
ENSG00000023171,ENSMUSG00000040111,ENSMICG00000007638
ENSG00000023191,ENSMUSG00000038650,ENSMICG00000031658
ENSG00000023228,ENSMUSG00000025968,ENSMICG00000010601
ENSG00000023287,ENSMUSG00000025907,ENSMICG00000000604
ENSG00000023318,ENSMUSG00000028343,ENSMICG00000003152
ENSG00000023330,ENSMUSG00000032786,ENSMICG00000002714
ENSG00000023516,ENSMUSG00000022016,ENSMICG00000027504
ENSG00000023572,ENSMUSG00000018196,ENSMICG00000011515
ENSG00000023608,ENSMUSG00000021113,ENSMICG00000002231
ENSG00000023697,ENSMUSG00000030225,ENSMICG00000011771
ENSG00000023734,ENSMUSG00000030224,ENSMICG00000032703
ENSG00000023839,ENSMUSG00000025194,ENSMICG00000006689
ENSG00000023902,ENSMUSG00000015745,ENSMICG00000027313
ENSG00000023909,ENSMUSG00000028124,ENSMICG00000035919
ENSG00000024048,ENSMUSG00000023977,ENSMICG00000003745
ENSG00000024422,ENSMUSG00000074364,ENSMICG00000005571
ENSG00000024526,ENSMUSG00000028175,ENSMICG00000002794
ENSG00000024862,ENSMUSG00000059554,ENSMICG00000008963
ENSG00000025156,ENSMUSG00000019878,ENSMICG00000031761
ENSG00000025293,ENSMUSG00000038116,ENSMICG00000001674
ENSG00000025423,ENSMUSG00000025396,ENSMICG00000043569
ENSG00000025434,ENSMUSG00000002108,ENSMICG00000007066
ENSG00000025708,ENSMUSG00000022615,ENSMICG00000013000
ENSG00000025770,ENSMUSG00000008690,ENSMICG00000012958
ENSG00000025772,ENSMUSG00000018322,ENSMICG00000032653
ENSG00000025796,ENSMUSG00000019802,ENSMICG00000014221
ENSG00000025800,ENSMUSG00000003731,ENSMICG00000001434
ENSG00000026025,ENSMUSG00000026728,ENSMICG00000011578
ENSG00000026103,ENSMUSG00000024778,ENSMICG00000006549
ENSG00000026508,ENSMUSG00000005087,ENSMICG00000003713
ENSG00000026559,ENSMUSG00000074575,ENSMICG00000032333
ENSG00000026652,ENSMUSG00000023827,ENSMICG00000009184
ENSG00000026751,ENSMUSG00000038179,ENSMICG00000014465
ENSG00000027001,ENSMUSG00000021993,ENSMICG00000036068
ENSG00000027075,ENSMUSG00000021108,ENSMICG00000002219
ENSG00000027644,ENSMUSG00000005640,ENSMICG00000008978
ENSG00000027697,ENSMUSG00000020009,ENSMICG00000044585
ENSG00000027847,ENSMUSG00000021504,ENSMICG00000034153
ENSG00000027869,ENSMUSG00000028071,ENSMICG00000008964
ENSG00000028116,ENSMUSG00000064090,ENSMICG00000015032
ENSG00000028137,ENSMUSG00000028599,ENSMICG00000012100
ENSG00000028203,ENSMUSG00000036099,ENSMICG00000031583
ENSG00000028277,ENSMUSG00000008496,ENSMICG00000015156
ENSG00000028310,ENSMUSG00000057649,ENSMICG00000004306
ENSG00000028528,ENSMUSG00000032382,ENSMICG00000011078
ENSG00000028839,ENSMUSG00000071359,ENSMICG00000015740
ENSG00000029153,ENSMUSG00000040187,ENSMICG00000007583
ENSG00000029363,ENSMUSG00000037608,ENSMICG00000004946
ENSG00000029364,ENSMUSG00000048833,ENSMICG00000009632
ENSG00000029534,ENSMUSG00000031543,ENSMICG00000006925
ENSG00000029559,ENSMUSG00000029306,ENSMICG00000042390
ENSG00000029639,ENSMUSG00000036983,ENSMICG00000045849
ENSG00000029725,ENSMUSG00000020817,ENSMICG00000012652
ENSG00000030066,ENSMUSG00000051329,ENSMICG00000011344
ENSG00000030110,ENSMUSG00000057789,ENSMICG00000031665
ENSG00000030304,ENSMUSG00000057280,ENSMICG00000004347
ENSG00000030419,ENSMUSG00000025997,ENSMICG00000013862
ENSG00000030582,ENSMUSG00000034708,ENSMICG00000005124
ENSG00000031003,ENSMUSG00000036501,ENSMICG00000014836
ENSG00000031081,ENSMUSG00000022799,ENSMICG00000049335
